window,cutoff_week,n_train,n_test,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,92,63001,5621,XGBoost,123,depth=9,0.9038782828224938,0.1269650161266327,0.34887030777441735,0.8430884184308842,1.6667852695249956
cumulative,92,63001,5621,LightGBM,123,leaves=31,0.9110799767451245,0.12046730205424479,0.3472691691869774,0.8393524283935243,1.659491193737769
cumulative,93,64370,5658,Dummy,42,const,0.40279250618593143,0.40279250618593143,0.8055850123718629,2.013962530929657,4.027925061859314
cumulative,93,64370,5658,Logistic Regression,42,C=1.0,0.8541545634584513,0.13903411159884643,0.4383174266525274,1.0767055496641922,2.1406857546836338
cumulative,93,64370,5658,Random Forest,42,depth=20,0.895078178804779,0.1418954406789039,0.5372923294450336,1.3400494874513962,2.6779780841286676
cumulative,93,64370,5658,XGBoost,42,depth=3,0.8972067745203561,0.1119537428021431,0.34959349593495936,0.8352774832096147,1.6447507953340403
cumulative,93,64370,5658,LightGBM,42,leaves=31,0.8952400329232554,0.12306421330609821,0.3543655001767409,0.8554259455638035,1.6905266878755745
cumulative,93,64370,5658,Dummy,7,const,0.40279250618593143,0.40279250618593143,0.8055850123718629,2.013962530929657,4.027925061859314
cumulative,93,64370,5658,Logistic Regression,7,C=1.0,0.8541545634584513,0.13903411159884643,0.4383174266525274,1.0767055496641922,2.1406857546836338
cumulative,93,64370,5658,Random Forest,7,depth=20,0.8894627453391843,0.14545200195948563,0.5348179568752209,1.3338635560268646,2.665606221279604
cumulative,93,64370,5658,XGBoost,7,depth=3,0.8972067745203561,0.1119537428021431,0.34959349593495936,0.8352774832096147,1.6447507953340403
cumulative,93,64370,5658,LightGBM,7,leaves=31,0.8952400329232554,0.12306421330609821,0.3543655001767409,0.8554259455638035,1.6905266878755745
cumulative,93,64370,5658,Dummy,123,const,0.40279250618593143,0.40279250618593143,0.8055850123718629,2.013962530929657,4.027925061859314
cumulative,93,64370,5658,Logistic Regression,123,C=1.0,0.8541545634584513,0.13903411159884643,0.4383174266525274,1.0767055496641922,2.1406857546836338
cumulative,93,64370,5658,Random Forest,123,depth=20,0.8872326679064803,0.14894739758835457,0.545068928950159,1.3600212089077413,2.718275008837045
cumulative,93,64370,5658,XGBoost,123,depth=3,0.8972067745203561,0.1119537428021431,0.34959349593495936,0.8352774832096147,1.6447507953340403
cumulative,93,64370,5658,LightGBM,123,leaves=31,0.8952400329232554,0.12306421330609821,0.3543655001767409,0.8554259455638035,1.6905266878755745
cumulative,94,65668,5756,Dummy,42,const,0.4223419041000695,0.4223419041000695,0.844683808200139,2.1117095205003475,4.223419041000695
cumulative,94,65668,5756,Logistic Regression,42,C=0.1,0.8603798786748696,0.1428125842378209,0.4402362751911049,1.0797428769979152,2.145587213342599
cumulative,94,65668,5756,Random Forest,42,depth=20,0.9031944376575651,0.14359109329973613,0.5319666435024323,1.3267894371091036,2.651494093120222
cumulative,94,65668,5756,XGBoost,42,depth=6,0.8966183181380857,0.13708068430423737,0.39089645587213345,0.9464906184850591,1.8724808895066019
cumulative,94,65668,5756,LightGBM,42,leaves=31,0.9017809617308108,0.13094345577141528,0.396455872133426,0.9645587213342599,1.9113968033356497
cumulative,94,65668,5756,Dummy,7,const,0.4223419041000695,0.4223419041000695,0.844683808200139,2.1117095205003475,4.223419041000695
cumulative,94,65668,5756,Logistic Regression,7,C=0.1,0.8603798786748696,0.1428125842378209,0.4402362751911049,1.0797428769979152,2.145587213342599
cumulative,94,65668,5756,Random Forest,7,depth=20,0.9072087814484334,0.13832595814506216,0.5238012508686588,1.3061153578874218,2.6099722029186934
cumulative,94,65668,5756,XGBoost,7,depth=6,0.8966183181380857,0.13708068430423737,0.39089645587213345,0.9464906184850591,1.8724808895066019
cumulative,94,65668,5756,LightGBM,7,leaves=31,0.9017809617308108,0.13094345577141528,0.396455872133426,0.9645587213342599,1.9113968033356497
cumulative,94,65668,5756,Dummy,123,const,0.4223419041000695,0.4223419041000695,0.844683808200139,2.1117095205003475,4.223419041000695
cumulative,94,65668,5756,Logistic Regression,123,C=0.1,0.8603798786748696,0.1428125842378209,0.4402362751911049,1.0797428769979152,2.145587213342599
cumulative,94,65668,5756,Random Forest,123,depth=20,0.9016348858679007,0.14054993705211602,0.5191104933981932,1.2941278665740097,2.585823488533704
cumulative,94,65668,5756,XGBoost,123,depth=6,0.8966183181380857,0.13708068430423737,0.39089645587213345,0.9464906184850591,1.8724808895066019
cumulative,94,65668,5756,LightGBM,123,leaves=31,0.9017809617308108,0.13094345577141528,0.396455872133426,0.9645587213342599,1.9113968033356497
cumulative,95,67202,5375,Dummy,42,const,0.4204651162790698,0.4204651162790698,0.8409302325581396,2.1023255813953488,4.2046511627906975
cumulative,95,67202,5375,Logistic Regression,42,C=0.1,0.8687383182183046,0.13270872604731615,0.37730232558139537,0.9192558139534883,1.8225116279069768
cumulative,95,67202,5375,Random Forest,42,depth=20,0.8916719790004145,0.13737579056018057,0.4612093023255814,1.1488372093023256,2.2948837209302324
cumulative,95,67202,5375,XGBoost,42,depth=6,0.8930853222440068,0.12784746289253235,0.33525581395348836,0.8046511627906977,1.5869767441860465
cumulative,95,67202,5375,LightGBM,42,leaves=31,0.8918301753830861,0.1250195695885787,0.34213953488372095,0.8254883720930233,1.6310697674418604
cumulative,95,67202,5375,Dummy,7,const,0.4204651162790698,0.4204651162790698,0.8409302325581396,2.1023255813953488,4.2046511627906975
cumulative,95,67202,5375,Logistic Regression,7,C=0.1,0.8687383182183046,0.13270872604731615,0.37730232558139537,0.9192558139534883,1.8225116279069768
cumulative,95,67202,5375,Random Forest,7,depth=20,0.8935979643332544,0.13495531076946132,0.4617674418604651,1.1505116279069767,2.2984186046511628
cumulative,95,67202,5375,XGBoost,7,depth=6,0.8930853222440068,0.12784746289253235,0.33525581395348836,0.8046511627906977,1.5869767441860465
cumulative,95,67202,5375,LightGBM,7,leaves=31,0.8918301753830861,0.1250195695885787,0.34213953488372095,0.8254883720930233,1.6310697674418604
cumulative,95,67202,5375,Dummy,123,const,0.4204651162790698,0.4204651162790698,0.8409302325581396,2.1023255813953488,4.2046511627906975
cumulative,95,67202,5375,Logistic Regression,123,C=0.1,0.8687383182183046,0.13270872604731615,0.37730232558139537,0.9192558139534883,1.8225116279069768
cumulative,95,67202,5375,Random Forest,123,depth=10,0.8946205965862735,0.1386422543667104,0.4768372093023256,1.1912558139534883,2.381953488372093
cumulative,95,67202,5375,XGBoost,123,depth=6,0.8930853222440068,0.12784746289253235,0.33525581395348836,0.8046511627906977,1.5869767441860465
cumulative,95,67202,5375,LightGBM,123,leaves=31,0.8918301753830861,0.1250195695885787,0.34213953488372095,0.8254883720930233,1.6310697674418604
cumulative,96,68622,4956,Dummy,42,const,0.37873284907183213,0.37873284907183213,0.7574656981436643,1.8936642453591606,3.787328490718321
cumulative,96,68622,4956,Logistic Regression,42,C=1.0,0.834570523458883,0.13469988307522732,0.36380145278450365,0.8771186440677966,1.7326472962066182
cumulative,96,68622,4956,Random Forest,42,depth=10,0.862512678673015,0.1365625692297484,0.45076674737691685,1.1251008878127522,2.2489911218724776
cumulative,96,68622,4956,XGBoost,42,depth=3,0.8636128263832442,0.12654708325862885,0.3331315577078289,0.79317998385795,1.5599273607748183
cumulative,96,68622,4956,LightGBM,42,leaves=15,0.8656158652328294,0.12544976439304842,0.3502824858757062,0.8393866020984665,1.6545601291364003
cumulative,96,68622,4956,Dummy,7,const,0.37873284907183213,0.37873284907183213,0.7574656981436643,1.8936642453591606,3.787328490718321
cumulative,96,68622,4956,Logistic Regression,7,C=1.0,0.834570523458883,0.13469988307522732,0.36380145278450365,0.8771186440677966,1.7326472962066182
cumulative,96,68622,4956,Random Forest,7,depth=10,0.8604006007202307,0.1382022197383728,0.4477401129943503,1.1172316384180792,2.233050847457627
cumulative,96,68622,4956,XGBoost,7,depth=3,0.8636128263832442,0.12654708325862885,0.3331315577078289,0.79317998385795,1.5599273607748183
cumulative,96,68622,4956,LightGBM,7,leaves=15,0.8656158652328294,0.12544976439304842,0.3502824858757062,0.8393866020984665,1.6545601291364003
cumulative,96,68622,4956,Dummy,123,const,0.37873284907183213,0.37873284907183213,0.7574656981436643,1.8936642453591606,3.787328490718321
cumulative,96,68622,4956,Logistic Regression,123,C=1.0,0.834570523458883,0.13469988307522732,0.36380145278450365,0.8771186440677966,1.7326472962066182
cumulative,96,68622,4956,Random Forest,123,depth=10,0.8646313792139037,0.13777398155245707,0.4539951573849879,1.133777239709443,2.2667473769168685
cumulative,96,68622,4956,XGBoost,123,depth=3,0.8636128263832442,0.12654708325862885,0.3331315577078289,0.79317998385795,1.5599273607748183
cumulative,96,68622,4956,LightGBM,123,leaves=15,0.8656158652328294,0.12544976439304842,0.3502824858757062,0.8393866020984665,1.6545601291364003
cumulative,97,70028,4440,Dummy,42,const,0.3668918918918919,0.3668918918918919,0.7337837837837838,1.8344594594594594,3.668918918918919
cumulative,97,70028,4440,Logistic Regression,42,C=0.1,0.8116789709884225,0.14205688923982718,0.3572072072072072,0.840990990990991,1.6472972972972972
cumulative,97,70028,4440,Random Forest,42,depth=10,0.855859929131447,0.1339804898049698,0.41283783783783784,1.0304054054054055,2.059684684684685
cumulative,97,70028,4440,XGBoost,42,depth=3,0.8531595060814442,0.12665599584579468,0.31373873873873875,0.7373873873873874,1.4434684684684684
cumulative,97,70028,4440,LightGBM,42,leaves=15,0.8580963762667082,0.12258968136051344,0.34864864864864864,0.8351351351351352,1.645945945945946
cumulative,97,70028,4440,Dummy,7,const,0.3668918918918919,0.3668918918918919,0.7337837837837838,1.8344594594594594,3.668918918918919
